LOT,ORIGINAL_LOT,WAFER,PROCESS,ROUTE,PRODUCT,ROUTENAME,STEP,STEPNAME,PARAMETER,MEASURE_TIME,MEASURE_DATE,PROCESS_TIME,PROCESS_DATE,PROCESS_EQ,MEASURE_EQ,AVG_VALUE,MAX_VALUE,MIN_VALUE,DEV,RANGE,M1,M2,M3,M4,M5,M6,M7,M8,M9,SPEC_TARGET,SPEC_HIGH,SPEC_LOW,SPECIFICATION,OPERATOR,RECIPE,TK_RECIPE,BOAT_POSITION,WEEK,MONTH,LOT_TYPE,VENDOR_LOT,REDO_FLAG,OOS_COUNT,CORR_LOT
RRAP1,P,10,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,F-RNG,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,35.74,35.74,35.74,0,0,35.74,,,,,,,,,500,1000,0,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,10,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,MEASE_GOF,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,0.98,0.98,0.98,0.002,0.0081,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,,,,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,10,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-AVG-EMV1,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7736,7736,0,0,,,,,,,,,,,,,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,10,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-EMV1,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7863,7498.36,98.4825,365,7779,7498,7744,7733,7853,7755,7773,7773,7761,,,,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,10,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-GOOD,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7863,7498.36,98.4825,365,7779,7498,7744,7733,7853,7755,7773,7773,7761,7700,9000,6400,7700+-1300,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,10,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-GOOD-AVG,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7736,7736,0,0,,,,,,,,,,7700,9000,6400,7700+-1300,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,10,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-GOOD-RANGE,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,365,365,365,0,0,,,,,,,,,,1000,2000,0,<2000,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,2,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTERWK,3325,CMP1STEP,F-RNG,2023/1/1  14:00:00 PM,2023/1/1,2023/1/1  14:00:00 PM,2023/1/1,CMP-5,OP-9,35.74,35.74,35.74,0,0,35.74,,,,,,,,,500,1000,0,,MES,RWKCASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,2,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTERWK,3325,CMP1STEP,MEASE_GOF,2023/1/1  14:00:00 PM,2023/1/1,2023/1/1  14:00:00 PM,2023/1/1,CMP-5,OP-9,0.98,0.98,0.98,0.002,0.0081,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,,,,,MES,RWKCASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,2,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTERWK,3325,CMP1STEP,TK-AVG-EMV1,2023/1/1  14:00:00 PM,2023/1/1,2023/1/1  14:00:00 PM,2023/1/1,CMP-5,OP-9,7736,7736,7736,0,0,,,,,,,,,,,,,,MES,RWKCASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,2,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTERWK,3325,CMP1STEP,TK-EMV1,2023/1/1  14:00:00 PM,2023/1/1,2023/1/1  14:00:00 PM,2023/1/1,CMP-5,OP-9,7736,7863,7498.36,98.4825,365,7779,7498,7744,7733,7853,7755,7773,7773,7761,,,,,MES,RWKCASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,2,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTERWK,3325,CMP1STEP,TK-GOOD,2023/1/1  14:00:00 PM,2023/1/1,2023/1/1  14:00:00 PM,2023/1/1,CMP-5,OP-9,7736,7863,7498.36,98.4825,365,7779,7498,7744,7733,7853,7755,7773,7773,7761,7700,9000,6400,7700+-1300,MES,RWKCASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,2,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTERWK,3325,CMP1STEP,TK-GOOD-AVG,2023/1/1  14:00:00 PM,2023/1/1,2023/1/1  14:00:00 PM,2023/1/1,CMP-5,OP-9,7736,7736,7736,0,0,,,,,,,,,,7700,9000,6400,7700+-1300,MES,RWKCASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,2,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTERWK,3325,CMP1STEP,TK-GOOD-RANGE,2023/1/1  14:00:00 PM,2023/1/1,2023/1/1  14:00:00 PM,2023/1/1,CMP-5,OP-9,365,365,365,0,0,,,,,,,,,,1000,2000,0,<2000,MES,RWKCASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,3,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,F-RNG,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,35.74,35.74,35.74,0,0,35.74,,,,,,,,,500,1000,0,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,3,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,MEASE_GOF,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,0.98,0.98,0.98,0.002,0.0081,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,,,,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,3,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-AVG-EMV1,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7736,7736,0,0,,,,,,,,,,,,,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,3,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-EMV1,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7863,7498.36,98.4825,365,7779,7498,7744,7733,7853,7755,7773,7773,7761,,,,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,3,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-GOOD,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7863,7498.36,98.4825,365,7779,7498,7744,7733,7853,7755,7773,7773,7761,7700,9000,6400,7700+-1300,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,3,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-GOOD-AVG,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7736,7736,0,0,,,,,,,,,,7700,9000,6400,7700+-1300,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,3,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-GOOD-RANGE,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,365,365,365,0,0,,,,,,,,,,1000,2000,0,<2000,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,4,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,F-RNG,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,35.74,35.74,35.74,0,0,35.74,,,,,,,,,500,1000,0,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,4,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,MEASE_GOF,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,0.98,0.98,0.98,0.002,0.0081,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,,,,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,4,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-AVG-EMV1,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7736,7736,0,0,,,,,,,,,,,,,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,4,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-EMV1,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7863,7498.36,98.4825,365,7779,7498,7744,7733,7853,7755,7773,7773,7761,,,,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,4,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-GOOD,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7863,7498.36,98.4825,365,7779,7498,7744,7733,7853,7755,7773,7773,7761,7700,9000,6400,7700+-1300,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,4,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-GOOD-AVG,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7736,7736,0,0,,,,,,,,,,7700,9000,6400,7700+-1300,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,4,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-GOOD-RANGE,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,365,365,365,0,0,,,,,,,,,,1000,2000,0,<2000,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,5,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,F-RNG,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,35.74,35.74,35.74,0,0,35.74,,,,,,,,,500,1000,0,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,5,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,MEASE_GOF,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,0.98,0.98,0.98,0.002,0.0081,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,,,,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,5,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-AVG-EMV1,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7736,7736,0,0,,,,,,,,,,,,,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,5,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-EMV1,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7863,7498.36,98.4825,365,7779,7498,7744,7733,7853,7755,7773,7773,7761,,,,,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,5,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-GOOD,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7863,7498.36,98.4825,365,7779,7498,7744,7733,7853,7755,7773,7773,7761,7700,9000,6400,7700+-1300,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,5,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-GOOD-AVG,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,7736,7736,7736,0,0,,,,,,,,,,7700,9000,6400,7700+-1300,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1
RRAP1,P,5,P8BH4,JA43,A1H035-C-AT,CMPIMD1ROUTE,3325,CMP1STEP,TK-GOOD-RANGE,2023/1/1 12:00,2023/1/1,2023/1/1 12:00,2023/1/1,CMP-5,OP-9,365,365,365,0,0,,,,,,,,,,1000,2000,0,<2000,MES,CASS1.CAS,XX,0,35,1,M,TID,0,0,RRAP1